id,name,type,description,performance,energy_level,best_for
1,Fade In Up,Entrance,"Elements fade in from bottom","excellent","low","Professional, subtle"
2,Scale Pop,Entrance,"Elements scale from small to normal","excellent","medium","Playful, attention"
3,Slide Reveal,Entrance,"Slide in from sides with stagger","good","medium","Dynamic, modern"
4,Blur Unfold,Entrance,"Blur to clear with scale","good","low","Elegant, smooth"
5,Bounce In,Entrance,"Bouncy entrance animation","excellent","high","Fun, energetic"
6,Ripple Effect,Interaction,"Ripple on button click","excellent","medium","Interactive, feedback"
7,Magnetic Hover,Interaction,"Elements attract to cursor","medium","high","Playful, engaging"
8,Smooth Morph,Interaction,"Smooth shape transitions","good","medium","Modern, fluid"
9,Parallax Scroll,Scroll,"Background moves slower than content","medium","low","Depth, immersive"
10,Text Gradient,Decoration,"Animated gradient on text","excellent","medium","Eye-catching, modern"