style_id,style_name,keywords,description,vibe,complexity,best_for
ui001,Glassmorphism,glass frosted blur transparency modern backdrop elegant,Frosted glass effect with backdrop blur and transparency,elegant_modern,medium,SaaS tech premium products
ui002,Neumorphism,soft shadow subtle 3d depth tactile embossed raised,Soft UI with subtle shadows creating raised elements,friendly_tactile,high,apps dashboards interfaces
ui003,Brutalism,raw bold typography contrast minimal unpolished edgy,Raw unpolished bold design with stark contrasts,edgy_authentic,low,creative portfolio art
ui004,Swiss Design,grid clean minimal typography hierarchy structure,Grid-based minimalist layout with clear hierarchy,professional_clean,low,corporate editorial magazine
ui005,Material Design,shadow elevation layers colorful google modern,Google's material design system with elevation,modern_friendly,medium,apps web mobile
ui006,Flat Design,simple colors minimal shadow clean 2d microsoft,2D flat visual style without gradients or shadows,clean_simple,low,web mobile modern
ui007,Skeuomorphism,realistic texture shadow depth dimension apple ios,Real-world object imitation with textures,familiar_nostalgic,high,luxury gaming premium
ui008,Dark Mode,dark background neon glow contrast night theme,Dark background with bright accents and glows,modern_immersive,medium,tech gaming crypto
ui009,Gradient Mesh,colorful gradient flowing organic vibrant smooth,Complex gradient backgrounds with smooth transitions,vibrant_artistic,high,creative fashion art
ui010,Minimalist,white space simple clean typography zen calm,Extreme simplicity with abundant whitespace,calm_focused,low,portfolio luxury premium
ui011,Maximalist,bold colorful patterns busy vibrant dense rich,Dense layered visual richness with many elements,energetic_expressive,high,fashion entertainment retail
ui012,Retro Futurism,80s neon chrome geometric synthwave nostalgic,80s/90s inspired future aesthetic with neon,nostalgic_fun,medium,gaming entertainment music
ui013,Y2K Revival,chrome bubble metallic playful glossy early 2000s,Early 2000s internet aesthetic with chrome effects,playful_nostalgic,high,fashion creative social
ui014,Claymorphism,3d clay soft shadow colorful depth inflated,3D clay-like inflated shapes with soft shadows,friendly_modern,high,apps creative playful
ui015,Aurora UI,gradient glow light ethereal smooth flowing dream,Flowing aurora-like gradients with soft glows,dreamy_premium,medium,tech premium spiritual
ui016,Bento Grid,cards modular blocks organized sections dashboard,Card-based modular grid layout like bento boxes,organized_modern,medium,dashboards portfolios saas
ui017,Neo-brutalism,bold borders shadows colorful raw geometric,Brutalism with added colors and playful shadows,bold_playful,medium,startups creative tech
ui018,Organic Shapes,curves blobs flowing natural asymmetric fluid,Fluid organic shapes instead of rigid boxes,natural_friendly,medium,wellness beauty creative
ui019,Isometric 3D,isometric perspective depth dimensional blocks,3D isometric perspective illustrations,technical_modern,high,tech infographics education
ui020,Pixel Art,retro pixel 8bit gaming nostalgic blocky,8-bit pixel art style with retro gaming feel,nostalgic_playful,medium,gaming retro indie
ui021,Monochrome,black white grayscale minimal contrast bold,Single color design with grayscale variations,bold_timeless,low,portfolio photography art
ui022,Pastel Soft,pastel soft gentle cute kawaii light colors,Soft pastel colors creating gentle atmosphere,soft_friendly,low,kids beauty wellness
ui023,Holographic,iridescent rainbow shimmer futuristic metallic,Holographic iridescent effects with color shifts,futuristic_premium,high,tech fashion premium
ui024,Cartoon Style,illustrated playful fun friendly colorful drawn,Hand-drawn cartoon illustration style,playful_approachable,medium,kids education entertainment
ui025,Magazine Layout,editorial columns typography photography print,Editorial magazine-style layout with columns,sophisticated_editorial,medium,blog news content media
ui026,Split Screen,divided left right contrast comparison dual,Screen divided into two distinct sections,modern_comparative,low,agency portfolio comparison
ui027,Hero Video,video background cinematic immersive motion,Full-screen video background with overlay text,immersive_dramatic,high,events products premium
ui028,Parallax Scroll,depth layers movement scroll interactive 3d,Multiple layers creating depth while scrolling,engaging_modern,high,storytelling products creative
ui029,Terminal/CLI,command line code monospace tech developer,Terminal/command-line interface aesthetic,technical_authentic,low,developer tools tech api
ui030,Newspaper,columns dense text traditional editorial print,Traditional newspaper layout with dense columns,traditional_informative,low,news blog content
ui031,Scrapbook,collage mixed media layered personal eclectic,Collage-style with mixed media elements,personal_creative,high,personal creative portfolio
ui032,Grid System,strict grid alignment structure modular swiss,Strict grid-based alignment and structure,organized_professional,low,corporate design systems
ui033,Asymmetric,unbalanced dynamic tension experimental unique,Deliberately unbalanced asymmetric layouts,creative_bold,high,art fashion avant-garde
ui034,Card Design,cards containers rounded shadows bootstrap,Card-based UI with rounded corners and shadows,familiar_organized,low,content social ecommerce
ui035,One Page,single page scroll sections seamless continuous,Single continuous scrolling page with sections,simple_focused,low,portfolio landing events
ui036,Microinteractions,animated responsive feedback delightful subtle,Rich microinteractions and subtle animations,delightful_engaging,high,apps premium interactive
ui037,Data Visualization,charts graphs infographic analytical visual,Heavy focus on data charts and visualizations,analytical_informative,high,analytics dashboards reports
ui038,Storytelling,narrative sequential journey immersive flow,Sequential storytelling layout guiding users,engaging_narrative,medium,products campaigns causes
ui039,Gaming UI,hud overlay stats competitive energetic bold,Gaming-inspired HUD and interface elements,energetic_competitive,high,gaming esports entertainment
ui040,Luxury Minimal,elegant refined premium sophisticated timeless,Refined minimalism with luxury touch,sophisticated_exclusive,medium,luxury fashion premium
ui041,Industrial,concrete metal raw texture urban grunge,Industrial aesthetic with raw materials,raw_urban,medium,architecture urban fashion
ui042,Techno Cyber,digital matrix code futuristic hacker neon,Cyberpunk techno aesthetic with digital effects,futuristic_edgy,high,tech crypto gaming
ui043,Academic,traditional formal scholarly structured classic,Traditional academic institutional design,formal_trustworthy,low,education research institutions
ui044,Startup Modern,clean colorful friendly approachable gradient,Modern startup aesthetic with gradients,friendly_innovative,medium,startups tech saas
ui045,Retro Vintage,aged worn texture nostalgia classic old,Vintage aged aesthetic with retro elements,nostalgic_warm,medium,food fashion lifestyle
ui046,Art Deco,geometric luxury gold patterns 1920s elegant,1920s Art Deco with geometric patterns,elegant_glamorous,high,luxury events hospitality
ui047,Memphis Design,geometric colorful playful 80s patterns bold,Memphis Milano 80s design movement style,playful_bold,high,creative fashion entertainment
ui048,Vaporwave,aesthetic pink purple grid nostalgia surreal,Vaporwave internet aesthetic with surreal elements,surreal_nostalgic,high,art music creative
ui049,Avant-garde,experimental unconventional boundary-pushing unique,Experimental cutting-edge unconventional design,innovative_artistic,high,art fashion experimental
ui050,Minimalist Japan,zen simple natural wabi-sabi calm serene,Japanese minimalism with natural elements,serene_refined,low,wellness lifestyle premium
ui051,Grunge Texture,rough distressed texture edgy alternative raw,Grunge textures with distressed elements,edgy_alternative,medium,music fashion alternative
ui052,Comic Book,comic panels bold outlines speech bubbles pop,Comic book style with panels and speech bubbles,fun_nostalgic,high,entertainment comics creative
ui053,Neon Lights,neon glow bright vibrant electric nightlife,Neon light effects with vibrant glows,energetic_nightlife,high,entertainment nightlife events
ui054,Paper Cut,layered shadow depth craft handmade tactile,Paper cut-out style with layered shadows,crafted_friendly,medium,creative kids education
ui055,Low Poly,geometric faceted 3d angular modern abstract,Low-poly geometric 3D style with facets,modern_abstract,high,tech creative gaming
ui056,Watercolor,painted artistic soft flowing creative organic,Watercolor painting aesthetic with soft edges,artistic_soft,high,creative wellness lifestyle
ui057,Cybernetic,tech implants future augmented mechanical digital,Cybernetic enhancement aesthetic with tech overlays,futuristic_advanced,high,tech sci-fi gaming